colors,prodcategory,prodname,prodprice,productid,quantity,rurls,stage2url,url
NAVY,"womens,womens-clothing,womens-dresses",Toy Machine Needy Striped Dress,$45.00,WMD17NEE,20,https://www.rvca.com/shop/product/womens-dresses/toy-machine-needy-striped-dress?color=NVY,,
CINABAR,"womens,womens-clothing,womens-dresses",Portman Printed Dress,$59.00,WMD14POR,13,https://www.rvca.com/shop/product/womens-dresses/portman-printed-dress?color=CNR,,
CINABAR,"womens,womens-clothing,womens-dresses",Portman Printed Dress,$59.00,WMD14POR,13,https://www.rvca.com/shop/product/womens-dresses/portman-printed-dress?color=GEN,,
,"womens,womens-clothing,womens-dresses",Tinseltown Chambray Dress,$69.00,WMD04TIN,9,https://www.rvca.com/shop/product/womens-dresses/tinseltown-chambray-dress?color=DKI,,
CINABAR,"womens,womens-clothing,womens-dresses",Satisfaction Velvet Slip Dress,$65.00,WMD11SAT,56,https://www.rvca.com/shop/product/womens-dresses/satisfaction-velvet-slip-dress?color=CNR,,
BLACK,"womens,womens-clothing,womens-denim-pants",Moonlight Romper,$55.00,WMJP02MO,19,https://www.rvca.com/shop/product/womens-denim-pants/moonlight-romper?color=BLK,,
BLACK,"womens,womens-clothing,womens-denim-pants",Moonlight Romper,$55.00,WMJP02MO,19,https://www.rvca.com/shop/product/womens-denim-pants/moonlight-romper?color=GEN,,
BLACK,"womens,womens-clothing,womens-denim-pants",Base Jump Romper,$89.00,WMJP01BA,32,https://www.rvca.com/shop/product/womens-denim-pants/base-jump-romper?color=BLK,,
WINETASTING,"womens,womens-clothing,womens-dresses",Temped Striped Knit Swing Dress,$49.00,WMD18TEM,57,https://www.rvca.com/shop/product/womens-dresses/temped-striped-knit-swing-dress?color=WIT,,
WINETASTING,"womens,womens-clothing,womens-dresses",Latte Long Sleeve Bodycon Dress,$49.00,WMD13LAT,82,https://www.rvca.com/shop/product/womens-dresses/latte-long-sleeve-bodycon-dress?color=BLK,,
WINETASTING,"womens,womens-clothing,womens-dresses",Latte Long Sleeve Bodycon Dress,$49.00,WMD13LAT,82,https://www.rvca.com/shop/product/womens-dresses/latte-long-sleeve-bodycon-dress?color=WIT,,
BLACK,"mens,mens-clothing,mens-sweaters",Channels Sweater Crew,$60.00,MGVV01CH,10,https://www.rvca.com/shop/product/mens-sweaters/channels-crew?color=AHR,,
BLACK,"mens,mens-clothing,mens-sweaters",Channels Sweater Crew,$60.00,MGVV01CH,10,https://www.rvca.com/shop/product/mens-sweaters/channels-crew?color=BLK,,
,"mens,mens-clothing,mens-sweaters",Chum Knit Sweater,$65.00,MLVV01CU,16,https://www.rvca.com/shop/product/mens-sweaters/chum-knit-sweater?color=TPO,,
,"mens,mens-clothing,mens-sweaters",Chum Knit Sweater,$65.00,MLVV01CU,16,https://www.rvca.com/shop/product/mens-sweaters/chum-knit-sweater?color=FEB,,
,"mens,mens-clothing,mens-sweaters",Seasons Knit Sweater,$75.00,MLVV02SE,8,https://www.rvca.com/shop/product/mens-sweaters/seasons-knit-sweater?color=FEB,,
,"mens,mens-clothing,mens-sweaters",Seasons Knit Sweater,$75.00,MLVV02SE,8,https://www.rvca.com/shop/product/mens-sweaters/seasons-knit-sweater?color=GRS,,
BLACK,"mens,mens-clothing,mens-sweaters",Astral Henley Sweater,$41.40,MHVV01AS,7,https://www.rvca.com/shop/product/mens-sweaters/astral-henley?color=BLK,,
BLACK,"mens,mens-clothing,mens-shorts",Week-End Stretch Shorts,$50.00,MC202WKS,7862,https://www.rvca.com/shop/product/mens-shorts/the-week-end-stretch?color=DKH,,
PAVEMENT,"mens,mens-clothing,mens-shorts",Week-End Shorts,$39.95,M3211WES,14155,https://www.rvca.com/shop/product/mens-shorts/week-end-shorts?color=PAV,,
BLACK,"mens,mens-clothing,mens-shorts",Americana Shorts,$45.00,M3210AMS,4070,https://www.rvca.com/shop/product/mens-shorts/americana-short-1?color=BLK,,
,"mens,mens-clothing,mens-shorts",A.T. Dayshift Short,$45.00,M209NRDA,576,https://www.rvca.com/shop/product/mens-shorts/a-t-dayshift-short?color=PTK,,
CAMO,"mens,mens-clothing,mens-shorts",Weekend Hybrid II,$50.00,MJ203WKH,734,https://www.rvca.com/shop/product/mens-shorts/weekend-hybrid-ii-1?color=CAM,,
SMOKE,"mens,mens-clothing,mens-shorts",Arch 20 Hybrid Short,$55.00,M204NRAR,560,https://www.rvca.com/shop/product/mens-shorts/arch-20-hybrid-short?color=CL5,,
KHAKI,"mens,mens-clothing,mens-shorts",Balance Hybrid Shorts,$60.00,MK201BAL,1297,https://www.rvca.com/shop/product/mens-shorts/balance-hybrid-shorts?color=DMI,,
MIDNIGHT,"mens,mens-clothing,mens-shorts",That'll Walk Oxford Short,$55.00,MJ214TWO,371,https://www.rvca.com/shop/product/mens-shorts/that-ll-walk-oxford-short?color=BLT,,
DENIM,"mens,mens-clothing,mens-shorts",Work It Denim Short,$58.00,M206NRWO,29,https://www.rvca.com/shop/product/mens-shorts/work-it-denim-short?color=DEN,,
BLACK,"va-sport,va-sport-clothing,va-sport-shorts",Yogger III Short,$45.00,VL204YGR,500,https://www.rvca.com/shop/product/va-sport-shorts/yogger-iii-short?color=BLK,,
MONUMENT,"mens,mens-clothing,mens-shorts",All The Way Hybrid Short,$55.00,MJ222BEN,520,https://www.rvca.com/shop/product/mens-shorts/all-the-way-hybrid-1?color=CL5,,
SLATE,"va-sport,va-sport-clothing,va-sport-shorts","VA Sport Short II 20"" Short",$45.00,VL201SPO,77,https://www.rvca.com/shop/product/va-sport-shorts/va-sport-short-ii-20?color=TPO,,
SLATE,"va-sport,va-sport-clothing,va-sport-shorts","Layers II 19"" Short",$42.00,VL205LRS,427,https://www.rvca.com/shop/product/va-sport-shorts/layers-ii-19in-short?color=SLT,,
BLACK,"va-sport,va-sport-clothing,va-sport-shorts","Spectrum 18"" Short",$55.00,VL202SPE,444,https://www.rvca.com/shop/product/va-sport-shorts/spectrum-18in-short?color=BLK,,
BLACK,"mens,mens-clothing,mens-shorts",Control OXO Short,$55.00,MJ221OXO,246,https://www.rvca.com/shop/product/mens-shorts/control-oxo-short?color=BLT,,
ROSE,"mens,mens-clothing,mens-shorts",All Time Coastal Hybrid Short,$60.00,M203NRCO,472,https://www.rvca.com/shop/product/mens-shorts/all-time-coastal-hybrid-short?color=DDN,,
,"mens,mens-clothing,mens-shorts",Django Hybrid Short,$60.00,M201NRDJ,15,https://www.rvca.com/shop/product/mens-shorts/django-hybrid-short?color=BLT,,
,"mens,mens-clothing,mens-shorts",Neutral Quintana Short,$60.00,M209NRQS,105,https://www.rvca.com/shop/product/mens-shorts/neutral-quintana-short?color=CL5,,
,"mens,mens-clothing,mens-shorts",Control Hybrid II Printed Short,$60.00,ML203CON,4,https://www.rvca.com/shop/product/mens-shorts/control-hybrid-ii-printed-short?color=BUD,,
DENIM,"mens,mens-clothing,mens-pants",Daylight Elastic Shorts,$45.00,M201MRRS,238,https://www.rvca.com/shop/product/mens-pants/daylight-elastic-shorts?color=DEN,,
,"mens,mens-clothing,mens-shorts",Dayshift Elastic Shorts,$40.50,MK202DAE,12,https://www.rvca.com/shop/product/mens-shorts/dayshift-elastic-shorts?color=DDN,,
ROSEWOOD,"mens,mens-clothing,mens-shorts",Grid Hybrid Shorts,$54.00,MK202GRI,104,https://www.rvca.com/shop/product/mens-shorts/grid-hybrid-shorts?color=BLK,,
TEAL,"mens,mens-clothing,mens-shorts",Control Hybrid II Short,$46.40,MJ205CON,4,https://www.rvca.com/shop/product/mens-shorts/control-hybrid-ii?color=TEA,,
MIRAGE,"mens,mens-clothing,mens-shirts",Treets Long Sleeve Flannel,$60.00,M555NRTR,158,https://www.rvca.com/shop/product/mens-shirts/treets-long-sleeve-flannel?color=MGE,,
MIRAGE,"mens,mens-clothing,mens-shirts",Treets Long Sleeve Flannel,$60.00,M555NRTR,158,https://www.rvca.com/shop/product/mens-shirts/treets-long-sleeve-flannel?color=DPL,,
,,Shorts,$50.00,MC202WKS,,https://www.rvca.com/shop/mens-shorts,,
